second_max,Speed_mean,net_acc_max,net_gyro_max,roll_mean,yaw_mean,pitch_mean,No_of_Years_driving_exp,driver_rating,driver_age,car_age,gender
890.1,7.966577981582027,12.755713388285667,0.7380486742625292,61.94087239378847,7.09563312460907,1.0235985977852398,14.6,3.6599998,46.8,24.8,1
913.2,10.244532391586905,13.012161617958402,0.964359289838959,42.10348107227334,11.373827357053484,2.258073307298252,14.1,2.98,49.2,26.1,0
673.0,8.352007296061341,12.181266117692065,2.027088298932992,46.8487012922425,17.908290026357314,0.7039029221615346,14.7,3.7,48.4,22.3,0
923.1,8.860510206986376,12.650206736474473,0.7538734951624294,28.784138818546346,14.309561525559946,1.4935135575963634,15.7,3.1299999,49.3,20.6,0
1013.7,6.370811595820099,13.009423663265002,0.9301006475900231,37.80669492212127,10.282740732561049,0.9364310227304857,15.1,3.78,48.3,23.8,1
677.3,7.97014682342242,13.25553160264901,0.6333188903078574,43.55599688514089,17.879644200683945,-0.8538907086421382,15.2,3.72,47.2,22.6,0
634.3,9.374682994162969,13.191902399551077,1.375277777793276,31.9658296653432,11.851187152652852,-0.21310725890922178,15.1,3.6200001,47.7,18.1,0
1029.8,7.949856725502189,13.89035789375004,1.0297600730033656,25.622994658390382,4.774764311284622,0.9357339302349679,13.4,3.36,47.2,27.6,0
1014.4,7.995966050734462,12.423720764521649,0.6897731777197464,43.18249381123404,3.262090771766771,-0.9106146471922999,13.8,3.3200002,49.1,18.8,0
882.0,8.826510520957388,13.675490483110895,0.7598364585318877,27.771622000198455,12.863725586798362,3.468567250920149,10.4,3.47,46.4,23.3,1
993.5,6.598008197084349,12.49256667410108,0.6172275814755886,-0.7349565259445974,-8.825846455442706,-0.7880966864011585,18.0,3.7599998,48.1,24.0,1
867.4,11.100831675613819,13.101472838016472,1.0131734973644873,45.27842263714335,18.713970007273343,-0.3201235064183904,10.3,3.5700002,48.4,23.8,0
867.3,8.2095833413864,13.66448063923858,1.66358673292761,51.10523388771486,16.275204234191843,2.662503640803026,14.0,3.75,47.6,23.8,0
912.7,8.7392135945915,13.138830138185279,3.064215450309864,46.427307313667406,14.496751673222281,-1.0119817063571408,14.6,3.15,49.3,22.9,1
767.9,9.713456344616619,13.296219488783516,0.7291501863527305,61.903480025246004,11.380746951747273,0.7033614633001215,16.5,3.36,47.3,24.0,1
832.9,8.593055812126659,11.694147653100686,0.709951501170043,12.54767788290079,-3.6184092680957334,1.410168435656083,15.2,3.94,48.5,21.4,1
804.7,8.636446572266426,13.344140918417159,0.802874556735647,7.6736693785325345,10.730068692287464,0.8005154452230251,12.3,3.3700001,49.3,22.3,1
730.5,8.473211869340465,12.025678746265086,0.5356478130643981,40.66340205633962,24.96625735751182,1.7005720909161024,16.9,3.75,48.5,21.2,0
980.0,7.577572357032826,14.321968689131177,0.8324537355977493,31.467608602514236,17.25170391509216,1.1012830545585897,13.1,3.42,47.8,21.6,1
713.0,8.85665916290473,12.73629860929897,0.6427283009446341,44.789693026578554,18.375520238708535,-0.14897784542072517,14.0,3.2400002,46.5,25.9,0
772.9,6.953362472809538,12.00016790375609,1.537456443846572,55.080171759694586,22.444200740600706,0.7568228423804216,14.6,3.15,48.2,22.4,1
923.9,8.742203341285617,13.428148096504136,1.2929554917595363,35.3323617547623,12.4193192820014,-5.213579314408311,17.3,3.4299998,49.8,26.0,0
932.3,9.839151871057682,12.641728272863924,0.9989285379315683,33.932399212254836,2.340787246697509,-7.0307618790356745,16.2,3.7,46.5,19.8,0
983.2,6.935663210835723,13.741942001226226,0.5935189085353579,26.983815990314003,17.331141845100966,-0.9778988167009782,11.7,3.5099998,48.5,21.9,0
969.9,7.518244914890576,13.22571468558479,0.6031372896945165,-3.1103670940868753,-1.6161448950401216,1.4306535087163166,13.8,3.77,48.7,27.4,0
912.6,9.418914968101044,12.537856815459971,0.8842226512154353,42.24185329386011,17.597665702248,0.130107008702287,14.5,3.85,49.8,23.8,1
807.3,6.824495930335047,12.918619317861985,1.0255799695830823,74.01885062545688,12.736311320817972,2.5538334402993685,17.8,3.16,49.3,25.1,0
1044.9,9.405727446384583,13.746217392577549,0.732114386858137,44.93013222501487,18.830440800006212,0.7025636951723435,16.5,3.48,48.4,23.9,1
755.6,8.09651843463769,13.01157677048127,0.8885092428754671,47.360796414667064,13.512183880616686,0.7928035195991006,14.4,3.01,48.4,21.1,1
1113.5,7.262255525013766,13.109571045658026,0.6719748892208399,61.47329037260281,12.358910051203177,1.94018888527944,13.2,3.55,47.0,24.4,1
977.6,7.609214837733823,12.738229817153329,0.978900109102567,48.15422754252534,-0.6301971159723486,-1.0103459652506837,16.9,3.65,46.9,22.4,0
821.7,9.876199803766221,12.77439358035581,0.6548345350584495,-18.22350432226773,10.191679685126397,0.028778962240672133,12.4,3.72,45.9,27.9,1
862.2,7.662201762518873,12.744746222541249,0.8880707479802616,44.447257285813095,-0.261252147212555,0.9855773346099831,15.8,3.75,47.0,25.5,0
635.5,10.399808684405226,12.463568086366177,0.7256746621599726,5.431530380919158,1.765088600053512,0.8349085423952898,14.7,3.6299999,46.6,23.9,0
870.2,8.469285507694524,13.368829557519067,0.6999622958598698,63.847606026534244,-5.198174872280209,-0.9664933287533662,17.1,3.9,48.6,21.1,1
580.7,7.271021823724915,12.553884007071481,0.7777636586722526,61.06179760788147,4.27461475689941,0.18424375824507017,16.0,3.47,46.4,28.9,1
943.9,9.895070853662478,12.518923710319088,0.7036818980730923,32.33851485601431,-1.508741259517191,1.3248881501740226,12.5,3.1200001,48.0,27.4,0
960.7,6.4428928830152525,14.028899362850442,1.3412241060697827,56.93672978045387,23.879694113160344,2.6521229602342578,13.8,3.25,47.3,21.7,1
901.7,8.320244754730497,12.967222001944316,0.784284906022786,31.08552018950032,8.128706077563299,-0.5937201090694844,17.0,3.52,47.7,28.8,1
961.3,8.690591849496524,12.792194245163461,0.9434387051998815,26.921709721409563,12.070256734983722,-0.6663094595602768,15.1,3.81,47.0,21.4,0
971.2,7.388568558426646,13.01027974532381,0.7082911982056725,13.952872560597978,4.7226101923583395,0.5787641092095037,16.3,3.36,46.5,23.4,0
827.6,8.60436962276591,12.597407134493425,0.6919612527198147,62.17559147502933,12.21620854073637,0.9423372672036188,13.3,3.61,48.0,25.2,0
951.1,8.534984032488383,13.32199066083073,1.118886476243161,45.41414634093839,2.3124459939901008,1.5437965384149943,16.0,4.0,47.2,24.7,1
1164.7,8.544787718130534,13.099327783581037,0.8944816546133871,35.89130470629627,-7.873509004086583,1.4913323517279184,14.5,3.47,46.5,20.7,1
943.0,7.596542092278211,14.61990675147681,1.6414532588722768,62.46483410237372,5.697646947802399,1.9391515430934365,14.7,3.83,49.4,22.6,0
816.9,8.365452412845759,12.327858298134807,1.7453457060205437,20.73819959241663,7.832216872368827,-1.5518797544429423,15.7,3.55,49.7,17.9,1
797.1,8.121765418639367,12.757321316578636,0.5983638994778204,63.601689411127914,19.400264103674157,-1.532076233452769,13.1,3.58,48.8,27.1,0
751.2,6.672990345034172,13.531553008982627,1.096563864891087,72.5057648668812,10.092621163757657,0.4815489617411169,15.6,3.69,46.8,23.8,0
742.7,8.522549735727159,13.09220410504632,0.6902828756447306,14.561750721268009,9.02036532076166,0.34753440799978236,13.1,3.89,47.8,20.7,0
720.7,7.469812464364727,11.621030286024737,0.617317284318127,29.788985977065284,11.178043219727185,-0.6479074999710196,12.9,3.2599998,48.1,25.6,1
729.9,7.333405098278712,13.36959486960906,0.8542392566565221,28.31828472096054,-3.185922442088983,-5.559359377700899,13.0,3.4599998,47.4,20.2,1
934.8,10.087057232086172,13.632034289908527,1.398733795025219,56.74801775720671,19.55561099441272,-1.4811208752621863,14.5,3.4,45.1,23.3,1
853.2,9.332871929673633,13.52283326487299,0.7554608018601077,30.351972927167697,13.549679806767546,2.425308269715094,17.7,3.48,49.5,28.6,0
638.2,7.038775425992244,12.790467366343334,0.8173638743007968,15.133333112847486,-0.12189192864357992,0.32156148000395,16.9,3.33,47.7,24.7,1
1122.0,7.492808023649786,12.263923625175432,0.6265097160636115,13.345942174133665,2.873312849265671,-0.4114015133440425,12.4,3.2099998,45.9,30.9,1
990.2,10.744527715824983,13.458014530922204,0.7814996005941632,44.10924834660769,8.363646092200405,1.0014903109906492,14.2,3.17,46.4,22.9,0
762.9,6.681710043807461,12.523911711821736,1.0815874942841983,14.332872340716165,-7.804624435924486,0.5963171416013231,13.3,3.6200001,47.4,30.8,1
1074.0,8.860010220038301,13.721457503478451,0.9300347329231006,46.77262674322559,4.425269124783012,1.2986529561330615,15.7,3.7099998,47.2,22.1,1
1143.1,9.878958266391551,13.46455657473978,0.6607905808993505,33.356753924019785,12.702577328977988,5.086712739563998,14.3,3.98,49.7,25.8,1
1007.0,9.653192417091265,12.664708872275918,0.6224979877715466,-2.077152236029825,4.796386155636149,1.3955195298103726,13.7,3.48,48.6,21.9,0
867.3,5.685886495013738,12.370858335830992,1.216806937737854,38.80680575829699,13.219929819261846,-2.7853397287825805,13.1,3.97,50.7,26.2,1
779.1,6.922122481816606,13.507369216972975,0.786463185924067,30.652808991394863,-3.1790814512465593,0.6839840621424459,14.5,3.6,47.6,24.2,1
1073.3,10.494068567967368,13.970702220620684,1.1851155405064009,62.66995917260142,5.2874910068534335,3.117738463241525,14.8,3.5099998,49.4,23.7,0
1011.1,9.524854205281347,12.947233503461472,0.732938446950346,1.536143376242805,-2.2253877422686053,0.3033660452505892,12.9,3.5700002,47.5,22.7,1
634.0,8.072548487537208,13.940811508306354,1.3399536978876965,47.90887439413633,22.46621928180805,0.05128351882992638,14.2,3.6200001,47.5,25.7,1
743.8,5.9887872483494515,14.189075771630357,0.7878400658950565,74.82703657412009,30.01167576050375,0.9672949905654094,17.6,3.56,49.3,24.2,0
828.3,8.193297231535567,12.440236326986446,0.6485688109341275,35.55653655050153,16.69289596089356,0.9667819930170486,14.1,3.85,48.3,22.0,1
988.5,9.683865156946316,12.761776260478966,0.8095887943053495,10.614955825389742,15.317147353275743,-0.8407692921368067,16.3,3.7099998,48.3,19.8,1
805.7,8.53951987457557,13.554032702081452,0.8684871904805842,25.284168953088034,14.764630910742705,0.32134196842479534,13.8,3.83,47.7,20.9,1
852.8,7.922199174605997,15.635367047416102,0.8862171210141524,53.31623113005126,-0.5064683705717549,-1.4917102715503314,15.2,3.6799998,48.9,21.9,1
898.4,6.080734888171636,12.916210337057729,1.1646957801429823,70.54579358142016,27.261306312569282,0.6864466506026193,13.7,3.77,47.1,23.6,0
876.2,7.937477039310221,13.274800228770289,0.8159911168243278,43.77213516674466,14.929902799641605,-0.634863599659104,13.0,3.3799999,47.0,25.6,1
791.3,8.985584806195773,12.910122049025583,0.6390591540520921,26.487788576234344,13.362483861656775,-1.0872610280907122,13.4,3.6599998,48.5,26.0,1
957.0,8.576397246060388,13.707490440346856,0.8088785551105996,42.08424599708925,30.338455001246267,1.8018728438274845,16.4,3.6200001,46.4,22.6,0
1280.9,10.114902735490483,13.024981595023727,0.9520755485507291,0.006075095362696459,4.429895070759517,13.15039240414535,15.6,3.27,48.4,21.9,1
944.3,8.606971164294324,12.895887062252669,0.6578416390063051,27.958743891754317,14.282773062742791,-0.07812289922514834,16.8,3.64,48.2,28.5,0
1004.4,11.0283207344221,13.296766184187149,1.0640201994412268,62.159019578770526,19.478098120604823,2.564862982353338,15.4,3.5900002,48.4,21.1,1
980.1,8.917736932286157,13.352276362263794,1.1592802211487077,-30.097693345753907,1.8108702532992162,0.6794806276738867,14.4,3.55,48.3,24.5,1
995.3,7.480713895350847,12.878189210785814,0.5506071261994225,58.714983502791426,20.307025643230062,0.3990504808149876,14.8,3.28,48.2,25.6,1
828.3,7.289703305320498,14.117805903638043,0.6678323371569308,44.33965872042754,15.493546688449456,-0.9836093052311881,16.2,3.6200001,47.9,25.4,0
710.9,8.529000688476412,12.241180685878993,0.5135356000638523,41.97614353016428,11.932776124063542,3.2907335447787913,14.4,4.02,46.6,21.0,1
856.8,6.901374946089651,12.992560859335963,2.182008981802367,19.20487244413372,5.9518171034753475,0.7166622733348664,13.8,3.2400002,48.2,23.6,1
992.3,8.32730872996873,12.639881419896975,1.9132494176758044,35.72404444003427,19.47032133924833,3.5690016749771964,14.2,3.47,47.8,25.2,1
702.0,8.752878024135793,12.242636059554007,0.6145855944959593,30.545322056324938,16.78749695932288,1.081375368073639,12.0,3.81,47.6,19.1,0
688.1,9.799222733684614,13.193580543021046,0.5719410684661983,51.1486004686917,2.8619311272416352,-0.3007682038821088,15.4,3.5,48.2,25.8,0
731.9,8.000692039143754,12.697948597152646,1.3649378906282184,52.60644313827339,19.559071935531612,2.301050816704496,11.8,3.7399998,48.1,19.0,1
922.6,8.350979216375165,12.778949085697151,1.2569141002875974,44.31248655747847,24.69643848933458,0.7541408191001664,16.1,3.2900002,47.6,22.4,1
655.6,7.365824313877942,13.655571352708318,0.5980544254366978,43.15168198959242,19.9929050331576,-0.4116219081970545,12.4,3.55,47.8,21.7,0
924.2,8.552290752053775,14.992440390308861,2.7289067283419497,40.001769552568184,5.607963647826333,0.28956921540937425,16.2,3.5,48.7,30.9,1
529.3,6.241700907803433,12.624026234328309,0.9003931159252325,33.8680141942424,9.115251688592991,-1.1577887257488317,12.6,4.06,48.8,26.1,0
862.7,8.434552053918615,12.646471412816254,0.6074033926128006,-2.6196235532210075,6.745568036252678,-0.9076529223820737,13.7,3.18,47.7,20.5,0
783.2,8.443799357658403,12.461085968588169,0.6523430287059573,39.63559142881372,17.399183060719825,0.6959572564216779,14.6,3.28,49.1,21.8,1
1066.8,10.846329396415715,13.396006725716859,0.7110825678804475,17.624051625685905,-0.7563991149423991,0.0006445714822190141,15.7,3.92,48.2,19.7,1
655.0,6.913519003411956,13.082504982617468,1.1376310296572112,21.996867588185957,-2.4250105402353554,4.229958594993343,19.0,3.3799999,48.8,25.7,0
997.7,7.826240656613062,13.491649302774679,1.6002317844961418,45.27449053058005,7.555246267042248,0.847918562658706,12.8,3.6200001,48.6,23.4,1
821.7,6.342211764267501,13.771730756582647,1.3596681704375413,43.104954131416505,11.949580805377177,-0.24536990617872156,12.9,3.6799998,47.2,23.0,1
1031.8,9.272544367171125,12.3890838455535,1.6212268706214843,30.743580647137662,13.451648370589936,6.0076824170016785,13.5,3.5099998,48.8,23.1,0
1133.8,9.052720736825659,12.95892369434985,0.680375584694195,57.633016807670515,8.01902739572935,0.6102644638587632,13.6,3.35,49.4,23.6,1
965.5,6.759454881904378,12.841820783583458,0.5851944117332907,31.174333430632153,6.964006638842217,-0.5412113649248124,15.5,3.81,48.8,25.5,1
805.1,6.61284085089859,14.449609210805392,0.8824483678484724,56.07145496364186,19.347816989269788,1.8914596549412621,13.3,3.6799998,47.5,24.6,1
1015.1,8.331249985565858,12.542523164160155,0.9135906145454973,77.33430023760263,8.302820790075472,0.8910051588176839,11.7,3.3200002,48.8,22.5,0
793.0,5.8998489396753415,13.441971717385982,1.0419938669057933,59.86577932273966,12.84656281970668,-0.679277088623994,15.3,3.4599998,45.5,19.7,1
1003.8,8.590041163617862,13.146770736609403,0.6210039958084285,40.02907095273231,2.5112654346148497,-1.6551866235768073,14.5,3.65,45.9,20.5,1
891.1,9.046919014335101,12.648524944350463,0.7772059142166533,29.564583095879318,17.60261334870168,0.7924184740020588,12.7,3.7900002,48.3,22.7,1
906.3,10.596433365596786,12.752604656688009,0.8514395625073241,63.22619702464025,12.121167041893656,2.225053139505971,13.5,3.75,47.7,22.9,0
1027.4,6.299765931400247,13.035184713558781,0.6144844993960819,56.967306749306246,12.76366344636034,-0.4784071521936971,13.5,3.4,47.8,26.4,0
833.6,7.909365961000236,12.770875119515578,0.8888420445581703,57.62634914161667,30.404385232741266,1.7373701503735606,16.1,3.2099998,47.6,20.0,1
662.6,7.9104408913654325,13.022512290501485,0.6084622719573078,33.69100842918571,28.447210125871628,0.22958607993192776,16.0,3.98,48.2,18.5,0
920.7,7.4541477736743555,12.951357853817209,0.9645323950909663,75.82936756061164,8.35832266181357,1.346311831388234,14.8,3.15,48.0,26.4,1
833.8,7.823079996680742,12.525369739431914,0.6050094212659028,-6.252026986664922,15.540469577821025,0.899836064807832,17.6,3.92,46.7,23.5,0
1029.9,9.785066697875859,13.120600463115125,0.7569300138995265,58.81427546333025,6.165847685506494,3.42629173392242,16.2,3.67,48.1,20.2,0
1037.3,8.758344056003835,12.65493951658596,0.6609137916895343,61.06876856509606,15.327334552264038,1.113001376215482,14.1,3.1200001,48.5,22.7,1
836.7,9.126110825985688,13.336267303701376,0.6480666744396147,15.489400848087701,2.4355687084456976,0.7067695597481769,17.0,3.78,47.7,21.4,0
1176.6,8.842945858373216,12.61893481679557,0.7544037565749675,26.04872437846028,2.4825762475261306,7.407553874419037,14.4,3.6100001,47.1,23.7,0
841.3,10.4907011506854,13.115154681265315,0.9221214435387448,48.773602263776795,11.670297577776164,0.7290042994546456,15.8,3.1399999,47.9,28.0,0
882.6,7.6054503098287425,12.655415544558071,0.8257966678396237,59.24922992042277,6.4035128573387485,-2.198728129475491,13.8,3.5,49.3,26.7,1
600.5,8.350640856348319,11.877584273837607,0.45141518473103676,38.09925576609389,22.6388756853812,0.6576967977907511,13.6,3.16,49.2,30.4,1
990.0,8.570835310519389,12.823037275873821,0.9303575117490157,18.186873559480272,29.1906132365228,0.7100599235894023,18.0,3.52,49.1,21.7,1
781.8,6.912113201597539,12.804908738914804,0.8078728050815263,56.55718596367255,8.720808665536566,-1.4295441344673694,10.3,3.6799998,48.3,25.1,1
911.3,8.561595390314988,12.592867009223596,0.6124652371272064,40.38821929894868,31.97960352773588,-0.10184951995567496,11.5,3.77,46.9,25.9,0
773.9,8.723298918428387,12.24923514468825,0.6050543150742171,61.69970402342553,29.02288918830579,-0.4037613827626142,11.9,3.3400002,49.0,21.6,0
928.3,8.157301192566216,12.585512809145822,0.6706503853483279,22.144625653663972,12.113717065047945,-0.22353965541250864,13.4,2.9299998,48.5,25.6,1
738.9,8.412367980769675,12.55019227353976,0.5728741905417774,16.799906281378924,0.8221975025729058,0.6072426420728686,14.5,3.53,46.8,26.9,1
974.7,8.498861856377875,12.48525656798872,1.9787193119114463,49.27020026141649,-2.769066298425951,0.41203316600089446,13.4,3.97,47.5,17.5,0
1032.4,9.86853328205196,12.97190191962451,0.6631835217576924,-2.9124169791474017,2.5972244992692572,0.7307711892091149,16.9,3.67,46.4,20.6,0
1068.4,9.390538618713858,13.189201507414035,0.6143787851877195,44.2575322802841,10.847146566719768,1.9655356202454353,14.8,3.61,49.4,19.2,1
913.5,8.70892267157181,12.729735181973021,0.6244717332593868,42.04365561610759,3.0199822782116943,3.607956855209225,17.1,4.0299997,48.0,21.8,0
1249.5,8.686061783932255,14.776738676907126,1.3166192263042569,12.649085451545771,-5.24654143302178,-1.5276370034005726,13.9,3.7400002,49.0,21.6,1
793.3,8.948555169223004,12.853696166245035,0.8173871453452877,29.39024889893009,3.5155365659396187,0.26462811865647373,13.1,3.61,49.4,22.2,0
1080.9,9.730175688925673,13.005530938887341,1.3684342508835612,58.84387348762611,12.606733548899912,0.4107935627423397,13.3,3.8700001,49.1,20.9,0
953.0,9.745439581378994,13.133602392998375,0.937219420522586,45.53872254664023,11.72773355424312,1.4963045199854197,14.9,3.69,48.5,22.0,1
888.5,9.951690646618703,13.976205984848821,1.794863791556627,48.084366012445116,9.264230444789884,-0.9517357181905208,15.1,3.7099998,47.2,26.8,1
981.4,7.843676695781474,13.610425638165704,0.6569204135747333,35.178152368669814,8.36577429819051,4.233280178716389,14.2,3.5,48.4,19.0,1
